index,x_m,y_m,s_m,heading_rad,curvature_1pm
54,-3.665169944,11.280233197,20.677067662,3.126271155,0.188976272
55,-4.101457139,11.268660875,21.113508305,-3.072656905,0.196908461
56,-4.533172283,11.219995123,21.547957751,-2.985510047,0.203985299
57,-4.957074361,11.133771305,21.980540134,-2.895912886,0.209905691
58,-5.369932344,11.009992915,22.411553828,-2.804387939,0.214382014
59,-5.768585049,10.849130570,22.841438317,-2.711531235,0.217174619
60,-6.150000000,10.652112467,23.270732502,-2.617993878,0.218124132
61,-6.511330158,10.420306481,23.700026687,-2.524456521,0.217174619
62,-6.849967388,10.155494284,24.129911176,-2.431599817,0.214382014
63,-7.163591610,9.859837978,24.560924870,-2.340074870,0.209905691
64,-7.450214665,9.535839918,24.993507253,-2.250477709,0.203985299
65,-7.708218015,9.186296512,25.427956699,-2.163330851,0.196908461
66,-7.936383537,8.814246879,25.864397342,-2.079073604,0.188976272
67,-8.133916784,8.422917399,26.302755809,-1.998061098,0.180472691
68,-8.300462240,8.015663211,26.742748267,-1.920570807,0.171641541
69,-8.436110263,7.595907799,27.183877490,-1.846814615,0.162672194
70,-8.541395541,7.167081848,27.625439135,-1.776954336,0.153692877
71,-8.617287088,6.732562541,28.066536125,-1.711118862,0.144769372
72,-8.665169944,6.295614477,28.506099976,-1.649421629,0.135906600
73,-8.686818914,5.859333341,28.942917909,-1.591977579,0.127050800
74,-8.684364839,5.426593429,29.375664780,-1.538919276,0.118090566
75,-8.660254038,5.000000000,29.802939030,-1.490412124,0.108855565
76,-8.617201672,4.581847404,30.223302088,-1.446668781,0.099112314
77,-8.558139946,4.174083749,30.635320880,-1.407962820,0.088557053
78,-8.486162112,3.778282800,31.037613310,-1.374641413,0.076806673
79,-8.404463354,3.395623609,31.428896767,-1.347136248,0.063390289
80,-8.316279694,3.026878268,31.808039859,-1.325970834,0.047747028
81,-8.224826076,2.672407990,32.174117641,-1.311760720,0.029240653
82,-8.133234830,2.332167559,32.526470458,-1.305200586,0.007209632
83,-8.044495692,2.005718045,32.864766068,-1.307028829,-0.018918682
84,-7.961398534,1.692247498,33.189063649,-1.317956581,-0.049413636
85,-7.886479907,1.390599190,33.499876298,-1.338546473,-0.083900356
86,-7.821974427,1.099306815,33.798225430,-1.369031478,-0.120920518
87,-7.769771937,0.816635938,34.085676165,-1.409083388,-0.157550022
88,-7.731381273,0.540630844,34.364338424,-1.457578865,-0.189400449
89,-7.707901333,0.269165846,34.636816961,-1.512458749,-0.211380678
90,-7.700000000,0.000000000,34.906098753,-1.570796327,-0.219261258
91,-7.707901333,-0.269165846,35.175380545,-1.629133905,-0.211380678
92,-7.731381273,-0.540630844,35.447859082,-1.684013788,-0.189400449
93,-7.769771937,-0.816635938,35.726521341,-1.732509266,-0.157550022
94,-7.821974427,-1.099306815,36.013972076,-1.772561176,-0.120920518
95,-7.886479907,-1.390599190,36.312321208,-1.803046181,-0.083900356
96,-7.961398534,-1.692247498,36.623133857,-1.823636073,-0.049413636
97,-8.044495692,-2.005718045,36.947431438,-1.834563825,-0.018918682
98,-8.133234830,-2.332167559,37.285727048,-1.836392067,0.007209632
99,-8.224826076,-2.672407990,37.638079865,-1.829831934,0.029240653
100,-8.316279694,-3.026878268,38.004157647,-1.815621819,0.047747028
101,-8.404463354,-3.395623609,38.383300739,-1.794456405,0.063390289
102,-8.486162112,-3.778282800,38.774584196,-1.766951240,0.076806673
103,-8.558139946,-4.174083749,39.176876626,-1.733629834,0.088557053
104,-8.617201672,-4.581847404,39.588895418,-1.694923872,0.099112314
105,-8.660254038,-5.000000000,40.009258476,-1.651180529,0.108855565
106,-8.684364839,-5.426593429,40.436532726,-1.602673378,0.118090566
107,-8.686818914,-5.859333341,40.869279597,-1.549615074,0.127050800
108,-8.665169944,-6.295614477,41.306097530,-1.492171024,0.135906600
109,-8.617287088,-6.732562541,41.745661381,-1.430473791,0.144769372
110,-8.541395541,-7.167081848,42.186758371,-1.364638318,0.153692877
111,-8.436110263,-7.595907799,42.628320016,-1.294778038,0.162672194
112,-8.300462240,-8.015663211,43.069449239,-1.221021847,0.171641541
113,-8.133916784,-8.422917399,43.509441697,-1.143531555,0.180472691
114,-7.936383537,-8.814246879,43.947800164,-1.062519049,0.188976272
115,-7.708218015,-9.186296512,44.384240807,-0.978261803,0.196908461
116,-7.450214665,-9.535839918,44.818690253,-0.891114945,0.203985299
117,-7.163591610,-9.859837978,45.251272636,-0.801517783,0.209905691
118,-6.849967388,-10.155494284,45.682286330,-0.709992837,0.214382014
119,-6.511330158,-10.420306481,46.112170819,-0.617136132,0.217174619
120,-6.150000000,-10.652112467,46.541465004,-0.523598776,0.218124132
121,-5.768585049,-10.849130570,46.970759189,-0.430061419,0.217174619
122,-5.369932344,-11.009992915,47.400643678,-0.337204714,0.214382014
123,-4.957074361,-11.133771305,47.831657372,-0.245679768,0.209905691
124,-4.533172283,-11.219995123,48.264239755,-0.156082606,0.203985299
125,-4.101457139,-11.268660875,48.698689201,-0.068935748,0.196908461
